"R1_Read_Count"	"R2_Read_Count"	"R4_Read_Count"
"ZNF692"	1442	847	1067
"RNF126"	653	527	643
"ZNF416"	354	450	420
"PRPF40A"	16115	12475	15266
"DDX27"	3459	2492	4515
"HIF1AN"	3597	2948	3155
"ZNF446"	254	292	298
"CDC37L1"	818	924	1255
"URGCP"	2703	1733	2867
"NPLOC4"	6870	4930	5719
"DENND4C"	9479	7839	8316
"GPATCH2L"	10805	8574	9011
"MFN1"	4774	3241	5199
"PEX26"	3959	2854	2548
"PPP4R3A"	14259	8942	11363
"NBPF1"	2904	3311	3336
"SLC30A6"	2423	2958	3657
"IWS1"	3047	3638	4700
"LIMS2"	56	25	347
"RUFY2"	1800	2375	1468
"SCYL2"	6814	4543	6132
"KANSL3"	2395	3525	3248
"RABL6"	2315	2744	1881
"MREG"	106	541	1795
"TRMU"	2672	1816	1658
"YEATS2"	7894	8709	12736
"PACS1"	1665	1907	1512
"FRMD4A"	161	388	373
"LUC7L"	4328	3091	3280
"KDM4D"	54	41	123
"NSUN5"	1778	1622	1340
"RBM22"	5942	2414	3234
"VAC14"	1265	2143	1122
"RADIL"	150	163	201
"IARS2"	5540	3619	6174
"MAP7D1"	1705	1128	1189
"ARHGEF40"	2313	602	788
"YJU2"	1064	308	414
"POLR3B"	470	1207	584
"CCDC88A"	8132	11206	8284
"IPO9"	5127	6703	5841
"NDC1"	3342	3362	5218
"NECAP2"	3593	3137	5039
"KBTBD4"	2532	1424	3790
"FAR2"	6927	6581	3074
"ZNF334"	30	285	21
"TENM3"	34	3	0
"DOK4"	826	777	886
"LMBR1L"	7380	1232	2994
"WDR11"	7621	9363	5256
"POLR3E"	2724	2195	1675
"SLF2"	5541	8631	9719
"TSR1"	3536	2899	2367
"IQCC"	127	541	615
"CEP72"	749	815	1247
"ASF1B"	610	1975	1888
"INTS13"	2125	1917	2607
"BTBD7"	4000	3500	2875
"N4BP2"	14122	9588	16006
"ATF7IP"	10130	9511	6709
"FAM222B"	219	293	169
"C1orf112"	1524	1338	2360
"HHAT"	850	467	1368
"ZFP64"	452	363	456
"DNAJC11"	2005	1423	1053
"VPS35"	10076	8024	15045
"ARFGAP1"	1708	1142	2022
"NAXD"	1703	1252	792
"ENAH"	390	406	797
"EDEM2"	2637	1443	3117
"PARVA"	0	24	41
"CHFR"	2354	2939	3922
"COA1"	4248	7547	5978
"AP5M1"	4847	4264	4791
"NUP133"	9907	5035	9616
"CNDP2"	8000	2779	8585
"CCAR1"	5113	5659	5687
"AGK"	2523	2290	3130
"TMEM184C"	2557	2560	3136
"SEPTIN11"	3470	8566	3466
"OGDHL"	0	0	8
"TMEM30A"	9021	11250	8842
"CDK5RAP2"	6117	8340	8862
"INTS9"	1072	871	1409
"UGGT2"	80	251	75
"RCOR3"	3032	3386	2128
"WDR12"	1845	1366	1919
"DHX32"	718	346	267
"TTC17"	15529	10548	12439
"ZNF701"	2329	2017	1490
"EXOC1"	5136	4905	4269
"IFT122"	1054	1190	893
"INAVA"	0	76	2
"H2AJ"	310	978	2164
"NGLY1"	6362	4733	6431
"ZNF83"	2663	3402	1379
"EXOC2"	5313	3609	4287
"PRR11"	1611	2066	2451
"TBC1D23"	4790	3683	4278
"TDP1"	3523	2203	3991
"SAYSD1"	1650	1059	1696
"MBD5"	1221	1042	556
"ZNF839"	1870	1565	1653
"CFAP44"	1367	2962	1269
"ERMARD"	3391	1627	2660
"RIOK2"	2249	1559	2120
"CMTR2"	4847	2865	5931
"MCTP2"	2264	8115	2407
"FGD6"	340	1446	1848
"ZNF415"	66	216	697
"TXLNG"	2549	2255	1476
"LMBRD1"	2302	2071	1602
"DEPDC1B"	1944	1689	2802
"CSGALNACT1"	5108	9364	1620
"LRIF1"	1360	1995	1954
"MINDY1"	622	1089	298
"DDX28"	1139	549	1070
"PCID2"	5258	3936	5821
"MBNL3"	9211	11839	21484
"METTL2B"	1932	1815	2272
"CACNA2D3"	0	354	2
"SCN3B"	57	9	44
"IL26"	0	0	2
"DCP1A"	2030	1795	1801
"ADAP2"	220	370	511
"LRP2BP"	177	332	97
"HR"	0	3	6
"ST6GALNAC1"	0	12	97
"TRERF1"	1243	1837	343
"FOXJ2"	910	1162	682
"ADCY10"	37	115	64
"SPATA7"	556	321	663
"UTP6"	6719	4691	7360
"BDP1"	9387	10619	11379
"TSNAXIP1"	78	92	98
"DOK5"	0	0	0
"KDM3A"	7519	3992	6120
"RNF130"	7935	10351	9351
"ALLC"	0	9	6
"VPS11"	4075	2726	4683
"PAG1"	30459	29774	50034
"PECR"	65	413	840
"DCAF6"	2665	2729	3125
"SELENOS"	1033	829	1820
"GLT8D1"	2686	1969	3257
"EMC3"	3078	1951	4013
"CAND1"	17700	13388	16635
"UBAP2"	1444	2310	3950
"CENPJ"	2922	2560	4037
"EAPP"	3179	2144	4052
"CENPN"	1808	1629	4487
"EAF2"	3959	3088	4356
"WWC3"	4992	12102	993
"ARHGAP15"	7036	6703	15157
"PPP2R2D"	2883	1709	3235
"BRK1"	3642	2904	5010
"ITFG2"	1677	1051	1231
"CISD1"	721	621	390
"PLGRKT"	1030	380	1091
"USE1"	402	394	415
"PSENEN"	632	760	1117
"TEX2"	1805	2971	1799
"IDI2-AS1"	420	226	255
"ZC3H15"	7832	4020	4590
"DENND10P1"	76	553	461
"ACOT13"	1452	1012	1766
"KIZ"	1787	1077	1944
"TMEM165"	2978	3536	3963
"BEX1"	32	730	105
"ACTR10"	3040	2006	4004
"DBNDD2"	84	43	209
"ECHDC1"	3426	1942	3035
"TMEM126B"	1324	1220	2016
"SLC22A11"	0	25	13
"HDAC8"	974	1348	1395
"ASH1L"	10273	12121	9689
"CBWD1"	924	1025	1342
"PBK"	517	557	350
"GSDMB"	887	1079	746
"GABRQ"	940	0	490
"WSB2"	1065	2368	1755
"LMO3"	0	0	0
"ZKSCAN7"	314	160	1393
"GOLGA6B"	5	3	4
"GPRC5C"	36	53	163
"LENEP"	0	9	8
"MYNN"	3609	2599	2798
"ZNF395"	2514	2131	822
"DEFB103B"	0	0	0
"MESP1"	39	9	0
"UNC45A"	5805	3367	7082
"ZNF302"	3341	3656	2517
"THSD1"	736	72	109
"ACSS2"	1327	1195	797
"KMT2E"	12690	14960	10105
"RNF114"	6095	3866	5761
"ZC4H2"	1093	763	1231
"CMAS"	1203	1406	1527
"ANGPTL8"	0	0	2
"BIN3"	482	976	940
"APOBR"	31	1013	107
"ERBIN"	30060	19972	23232
"LANCL2"	887	561	937
"NXT2"	1076	1281	1912
"CTTNBP2NL"	305	755	807
"RCC2"	18338	8950	14665
"NKRF"	1011	1106	1376
"INKA2"	359	886	430
"DMAP1"	1492	985	2198
"MYO5C"	5561	7788	4256
"APOM"	80	31	68
"ZMAT5"	474	458	1001
"LIN37"	254	293	240
"KLHL9"	9955	6048	7679
"SULF2"	2056	3817	1779
"SEPTIN3"	0	10	36
"AJAP1"	0	4	137
"NDUFA12"	1076	1162	2528
"NSFL1C"	2602	1615	2511
"RAB5IF"	2648	3122	3545
"GNG12"	59	2613	140
"BAIAP2L1"	0	57	79
"SLC25A40"	1505	4687	2190
"BCAP29"	1780	1472	633
"SLC50A1"	3088	887	3137
"KLHL7"	1425	1477	2776
"CFC1"	0	0	0
"NXF5"	0	0	0
"NXF4"	0	0	0
"NXF3"	0	76	21
"NXF2"	0	0	0
"MYDGF"	1500	835	1496
"SMG9"	1247	997	398
"BARX1"	31	0	3
"PDGFC"	494	129	64
"ALG1"	1159	889	1305
"UBFD1"	3589	2281	3585
"KLHL4"	0	9	6
"TMEM234"	285	562	455
"PCDHGC5"	2	22	11
"PCDHGC4"	50	28	54
"PCDHGB7"	163	27	60
"PCDHGB6"	221	33	31
"PCDHGB5"	0	90	10
"PCDHGB3"	151	18	5
"PCDHGB2"	64	19	13
"PCDHGB1"	0	3	10
"PCDHGA11"	77	75	53
"PCDHGA10"	63	26	21
"PCDHGA9"	21	30	23
"PCDHGA7"	27	7	10
"PCDHGA6"	5	12	6
"PCDHGA5"	6	8	8
"PCDHGA4"	0	13	16
"PCDHGA3"	0	12	10
"PCDHGA2"	0	54	33
"PCDHGA1"	29	61	55
"PCDHACT"	0	0	0
"PCDHGB8P"	42	13	13
"PCDHB15"	98	27	17
"PCDHB14"	260	133	252
"PCDHB13"	109	123	211
"PCDHB12"	128	11	24
"PCDHB11"	29	0	14
"PCDHB10"	28	3	38
"PCDHB9"	52	20	81
"PCDHB8"	7	20	136
"PCDHB7"	0	0	5
"PCDHB6"	0	5	1
"PCDHB4"	0	0	1
"PCDHB3"	0	3	1
"PCDHB2"	2	6	4
"PCDHAC2"	0	0	0
"PCDHAC1"	0	2	0
"PCDHA13"	0	0	0
"PCDHA12"	0	0	0
"PCDHA11"	0	0	0
"PCDHA10"	0	2	0
"PCDHA8"	0	0	0
"PCDHA7"	0	1	3
"PCDHA6"	0	0	0
"PCDHA5"	0	0	0
"PCDHA4"	0	0	0
"PCDHA3"	0	0	0
"PCDHA2"	0	0	0
"PCDHA1"	0	0	0
"TEX15"	15	10	0
"TEX14"	51	18	52
"TEX13B"	0	0	0
"TEX13A"	0	0	0
"TEX12"	73	26	16
"TEX11"	0	0	0
"NSMCE3"	1653	751	2296
"RNF17"	0	2	0
"STK31"	339	145	72
"TDRD1"	0	55	9
"GSDMC"	0	17	0
"DNAH7"	107	48	31
"ANKH"	195	1206	341
"MOSPD1"	1531	694	1338
"MTFR1L"	2751	1225	2424
"LMOD3"	0	0	0
"FAM214A"	6198	5546	7934
"SUSD2"	0	17	0
"ZNF253"	1379	1765	4167
"KIAA1217"	42	19	23
"BTNL2"	0	0	0
"C21orf62"	48	17	0
"MRAP"	0	0	1
"YLPM1"	5076	6005	4265
"CRTAM"	595	79	631
"RNF20"	3193	2852	3727
"TMX4"	4021	5784	13436
"SERTAD4"	0	16	24
"MEPCE"	2356	2299	2936
"CTNNBL1"	3785	1356	2564
"C8orf44"	369	551	376
"GPCPD1"	5767	10162	9035
"LRRC8A"	1498	1404	1542
"CPXM1"	123	3593	3280
"KYAT3"	1321	1057	1152
"IRGC"	0	0	0
"WDR45B"	6252	2605	6007
"BEX4"	1543	624	2444
"DAD1P1"	0	15	0
"GKN1"	0	0	0
"PARD3"	4862	3321	7589
"IL36G"	0	0	0
"SLC7A10"	0	0	13
"TRPV5"	0	0	32
"ANKRD7"	0	0	0
"METTL3"	8176	4076	7114
"PRMT8"	0	392	0
"PPAN"	1192	272	872
"CABP5"	0	0	5
"LTB4R2"	495	322	274
"CTPS2"	2125	1338	2613
"RPRM"	0	0	0
"ABCB10P1"	0	1	1
"CCL28"	283	1197	928
"EIF4ENIF1"	1789	1682	1848
"KCNQ5"	721	500	37
"DNAJC12"	18	42	14
"MMP26"	0	0	0
"CHST7"	10499	256	358
"CYP26B1"	15	0	0
"TUBB7P"	0	0	0
"ERO1B"	4253	3332	2794
"SLC2A9"	435	10065	129
"DIABLO"	2042	1647	3029
"INPP5E"	1123	586	613
"ASAH2"	0	153	82
"BCCIP"	2586	2361	4437
"EIF5A2"	20	65	68
"TMPRSS4"	0	14	7
"CLDND1"	3760	3105	3943
"LINC00470"	0	0	0
"TWNK"	687	659	386
"NPDC1"	122	951	279
"POLE4"	574	687	1278
"OR2S2"	0	2	0
"TRIM39"	1140	918	923
"KCNK13"	0	16	1
"KCNK12"	46	2227	256
"VTRNA1-3"	2	27	6
"VTRNA1-2"	0	0	0
"VTRNA1-1"	3	2	9
"PANX2"	28	58	14
"MUC13"	0	0	0
"SUCNR1"	66	1586	204
"AKIP1"	1087	1940	1505
"C11orf16"	0	0	0
"TMEM9B"	2552	1876	2842
"NRIP3"	76	58	64
"ASCL3"	0	0	0
"FABP3P2"	0	0	0
"SAR1A"	9443	5033	8265
"CFAP298"	1678	1738	3149
"JPH1"	0	1589	178
"RETN"	0	1064	816
"SLC2A4RG"	313	587	418
"BARHL1"	0	0	0
"FMN2"	0	0	0
"ZC3HAV1"	14552	10601	13785
"IFNK"	0	0	0
"SLAMF8"	82	59	87
"GPR137"	201	283	302
"SPHK2"	386	377	280
"TCEAL7"	0	0	0
"GRIPAP1"	1609	1995	2105
"EMC7"	1228	1009	1254
"RAD18"	4313	1911	3338
"CELF4"	0	0	0
"CDC42SE1"	8195	8942	5879
"FSTL5"	19	0	1892
"UGGT1"	10375	13230	16071
"KCMF1"	3788	2374	3523
"TM9SF3"	15979	15118	31048
"MDM1"	2034	3034	3086
"LGALS14"	0	0	0
"TCIM"	0	19	639
"UBQLN4"	809	735	551
"AGPAT3"	808	1961	1508
"AGPAT4"	307	876	291
"DPYSL5"	0	0	0
"WRNIP1"	3233	2078	2675
"BDH2"	2414	2078	4043
"ANKS1B"	136	11	13
"TMEM167B"	5527	2001	4260
"NDUFA4L2"	0	7	5
"PNO1"	1693	528	738
"PAPOLB"	0	4	18
"SH3GLB2"	2890	1513	5752
"C15orf39"	504	1233	159
"THAP10"	0	0	0
"SPIRE1"	0	124	125
"STARD7"	10144	21815	12896
"MAP3K7CL"	214	676	511
"IFT46"	787	795	1608
"C1GALT1"	4430	4355	5757
"OTOR"	0	0	0
"EXOSC5"	624	502	319
"SMARCAD1"	4896	6003	7079
"MEIS3"	0	0	13
"C2orf83"	0	0	0
"DHX33"	1509	1576	802
"SEMA3G"	27	89	21
"MCCC1"	5543	2719	5271
"NMUR2"	0	0	0
"PAK6"	0	0	0
"LXN"	1166	2466	1646
"NCLN"	1458	1313	1157
"GPR108"	2149	1292	1462
"SPPL2B"	10051	4568	1960
"FEM1C"	3005	3134	1505
"DUS3L"	3108	883	1127
"CA10"	0	0	0
"SMCO4"	112	1032	630
"CCDC177"	23	0	0
"PMEPA1"	29	58	139
"ARNTL2"	112	3160	137
"DUSP22"	3820	1445	4012
"HMCES"	10953	2751	14235
"CMC2"	888	965	2004
"ENY2"	2882	2727	3495
"OLFML3"	110	51	115
"MRPS22"	1847	1213	2373
"EMSY"	1373	2824	1942
"MFF"	3209	2779	4129
"SDR39U1"	972	844	810
"XAB2"	3082	1697	2048
"SMYD2"	1898	2449	1116
"C5orf15"	2869	3086	4571
"PRTFDC1"	72	916	31
"NT5M"	287	469	239
"NIT2"	1305	1482	1141
"MEPE"	0	0	0
"LHX9"	0	0	0
"OTUD7B"	312	110	186
"SHD"	0	0	0
"RGMA"	54	28	286
"WDR93"	57	0	0
"PARP6"	2682	2116	1793
"C14orf132"	171	1793	3484
"RPL23AP32"	0	47	3
"ATXN7L3"	4885	2598	3391
"CEACAM19"	0	4	0
"FAM20C"	35	130	47
"STOX2"	0	5518	25
"PRDM8"	22	604	44
"PRDM9"	0	0	0
"PRDM10"	1141	1431	937
"PRDM11"	198	725	303
"POGLUT1"	2127	1233	1427
"PSMG2"	3237	2829	3517
"ADPRM"	3753	1265	2656
"DTWD1"	1284	1578	1408
"BBX"	11702	7027	8337
"CDC42SE2"	10579	9751	13300
"KIF15"	3706	3712	9615
"TOMM22"	3380	1751	4827
"CHPT1"	2882	1471	1626
"TULP4"	11581	2022	2281
"SLC12A9"	3626	1090	1532
"COQ8A"	2195	1720	2176
"CTNNBIP1"	1729	2148	1431
"ADAMTS9"	3860	34	92
"GSN-AS1"	166	206	144
"SDHAF3"	526	586	554
"YAE1"	255	415	813
"CCDC47"	3583	3889	3657
"UNGP2"	0	0	0
"ACKR3"	98	0	1092
"RLFP1"	0	0	0
"CABP4"	229	51	44
"AKR1B10"	0	0	16
"COQ9"	2049	1294	2792
"CCNL1"	42879	15595	12674
"CIAPIN1"	2189	1295	3578
"VPS35L"	2820	2234	3504
"PDXP"	482	501	984
"SLC17A7"	0	6	45
"RSRP1"	23644	13311	14522
"ANKMY2"	2007	1067	2391
"RARS2"	3669	2299	3318
"TWSG1"	2090	926	1977
"PLSCR2"	0	20	0
"PLSCR3"	17	5	76
"UTP3"	582	968	1402
"CHRNA10"	54	193	49
"DAZ3"	0	0	0
"DAZ2"	0	0	0
"TBX20"	0	2	0
"PCBP4"	2526	70	419
"HYMAI"	10	172	13
"DDX24"	10726	5174	6755
"KNL1"	5079	7302	12280
"SLC17A6"	0	0	0
"AGTRAP"	346	985	386
"PLSCR4"	79	69	129
"ENTPD7"	651	1491	750
"CASS4"	36	277	56
"PCNP"	8627	4824	6514
"TRIM49"	0	0	0
"CPA6"	0	0	0
"PITHD1"	5083	1671	4563
"RPGRIP1"	0	90	66
"PARP11"	1530	1236	1920
"AVEN"	1039	1115	555
"ANO2"	0	19	116
"C12orf4"	2454	1828	3115
"TIGAR"	997	508	690
"PNPLA2"	1071	736	370
"CYSLTR2"	15	4588	20
"NAT14"	150	100	35
"PDSS2"	1135	630	607
"KMT5AP1"	23	28	17
"REXO4"	2648	883	2035
"PLAAT1"	0	0	0
"RAB25"	0	0	2
"TRPC7"	0	0	0
"PGLYRP4"	0	0	0
"ZNF695"	17	214	1191
"INTS12"	1179	691	999
"CAMK1D"	6663	8290	2109
"EPPIN"	0	0	0
"GOPC"	5037	4490	7260
"LPAR5"	329	592	202
"NUP107"	7068	5061	9729
"CD248"	22	122	21
"PLXDC1"	184	12	538
"CD177"	176	5420	2579
"RHBG"	0	0	0
"LYRM4"	1346	1722	3092
"MRPL47"	1885	1226	2578
"ATP13A1"	901	1165	1165
"CHMP1B"	13274	5527	10130
"MAN1C1"	146	1198	103
"DAZ4"	0	0	0
"APMAP"	4175	13824	5841
"RGL3"	0	0	0
"RNPEPL1"	996	1264	696
"RTN4"	4428	6121	5343
"ADCK1"	233	590	281
"PAK5"	0	0	0
"TMEM159"	2782	782	1726
"SCYL3"	1421	1870	2244
"RALGAPB"	6481	5717	5913
"LYRM1"	1056	959	2942
"SMIM8"	822	1128	1191
"LYZL6"	0	0	0
"SLURP1"	0	0	0
"SLC44A2"	3236	5995	4760
"SMURF1"	3287	5194	2537
"TMEM63C"	0	31	40
"PHTF2"	2399	5609	2159
"JPH2"	0	118	11
"TRIM54"	0	0	9
"PELI2"	7565	7176	9086
"PELI1"	949	4697	692
"GJC2"	153	152	148
"SALL4"	1335	24	46
"ASPHD2"	245	432	807
"ZNFX1"	5850	5770	5685
"DOLPP1"	583	461	906
"CAMK1G"	0	0	0
"CORO1B"	4220	2285	3030
"VARS2"	1127	1481	1026
"ZMIZ1"	9421	5570	4586
"KIAA1191"	3673	1199	4100
"ACTR3B"	232	336	485
"SLC39A10"	7300	4531	4849
"ANKRD50"	3319	2572	9000
"FAM219B"	4118	2015	3823
"NIPAL3"	2854	2998	1998
"RALGAPA2"	6701	6617	2716
"THOC2"	9756	10565	8928
"ADAMTSL3"	0	0	123
"DENND11"	13467	5009	10829
"SELENON"	540	1846	241
"VN1R1"	89	105	55
"MCOLN1"	125	221	178
"ATP10A"	1419	3216	3323
"ATP8B2"	13360	7978	10763
"ATP10D"	3983	3755	2587
"ZNF248"	1553	2400	3171
"SLC45A4"	774	1184	782
"ADGRG6"	222	72	100
"TP73-AS1"	875	538	936
"SPRYD7"	338	407	267
"CEMIP"	11	13	28
"THAP11"	1770	1078	2117
"VANGL2"	501	84	359
"TTC7A"	14010	9224	16681
"ARFGEF3"	18	22	5
"ERGIC1"	22375	8521	21527
"PPP4R3B"	11754	8491	10905
"NHSL1"	187	679	194
"LYRM2"	2218	1673	2741
"SMAGP"	258	250	106
"SNX14"	6538	6449	6721
"ZNF630"	306	208	261
"LINC00869"	351	460	225
"SLC4A10"	48	25	7
"IGHV7-4-1"	0	11	0
"DANCR"	1596	1000	3967
"KAT14"	1814	1570	1928
"PBXIP1"	17397	9336	22465
"CBX8"	203	169	352
"RCN3"	65	276	119
"ZNF286A"	1614	681	2278
"ZNF287"	62	118	488
"SENP7"	11941	5263	8247
"JPH3"	0	0	0
"ZNF304"	1831	1315	1163
"TTYH1"	53	0	12
"GJD2"	0	0	0
"AICDA"	0	0	34
"MRS2"	1358	1195	2308
"RHOJ"	18	17	0
"CLTRN"	0	20	16
"CLK4"	3266	3689	2752
"S100A14"	0	7	0
"RAB22A"	2660	2485	3050
"CYP20A1"	3855	2799	3222
"SPC25"	179	446	634
"ABHD6"	181	91	1373
"NMRAL1"	1318	1416	2866
"LRTM1"	0	0	0
"MIF4GD"	547	598	566
"SCYL1"	2872	1358	2419
"AS3MT"	47	259	3416
"TMIGD3"	0	21	52
"RHBDD2"	242	294	233
"C3orf14"	18	8	58
"WDR18"	846	692	1299
"SLC24A3"	0	123	29
"NDRG3"	2187	1226	1923
"NDRG2"	922	16	236
"BIRC6"	48270	35396	36926
"PLEKHG5"	33	10	37
"TENM2"	45	16	14
"GALNT16"	0	5	0
"DSCAML1"	0	10	3
"REXO1"	589	654	360
"KIAA1143"	5654	3497	5301
"TMCC3"	1724	1009	45
"GATAD2B"	1862	3351	1848
"PPM1H"	680	441	545
"ISY1"	4179	2013	4198
"MYORG"	0	58	59
"AMIGO1"	114	44	210
"STRIP2"	113	1153	178
"TBC1D24"	744	751	390
"SCAF4"	993	1968	1055
"HHATL"	0	0	0
"SLC12A5"	175	49	9
"PNMA8B"	28	57	10
"LRRC47"	3892	1816	2825
"ERMN"	128	38	120
"CNOT6"	4100	5470	5053
"ZNF512B"	1210	1121	928
"ZNF490"	1421	1063	1513
"PLEKHH1"	0	6	11
"GRAMD1B"	2519	2927	3384
"SHROOM4"	25	139	17
"USP31"	1004	3164	685
"PRR12"	371	888	119
"PLEKHG1"	510	5924	2109
"KIAA1210"	0	0	0
"CRACD"	40	81	53
"RNF150"	21	12	31
"NLN"	197	405	230
"ESYT2"	23477	22352	38292
"ODF2L"	4223	1510	1775
"AHRR"	0	0	0
"ARID1B"	6958	6093	4617
"HEG1"	445	722	136
"RIMKLB"	17582	11606	25319
"NWD2"	0	42	0
"MRTFB"	1372	3346	2345
"LRFN2"	65	341	508
"KIDINS220"	12470	13600	12536
"CFAP92"	172	216	1544
"NLGN4X"	89	5569	37
"MTA3"	1494	951	1534
"AARS2"	2864	2002	2506
"MAVS"	6297	4682	3622
"ZNF608"	4942	5016	10366
"INTS2"	2718	3366	5217
"MTUS1"	224	612	44
"XPO5"	1841	2299	2269
"COG6"	1964	1584	2371
"GPR158"	0	0	34
"CASKIN2"	249	616	435
"ARHGAP31"	138	175	68
"SERINC1"	18270	12270	10855
"STARD9"	5267	10724	4747
"HECW2"	70	198	129
"RPTOR"	6180	2566	1319
"SRGAP1"	0	12	0
"NYNRIN"	57	17	728
"CASKIN1"	0	0	3
"PCDH19"	0	0	0
"KCTD16"	20	19	35
"RTL9"	0	0	10
"CGN"	24	14	12
"HACE1"	3367	3627	4211
"NUFIP2"	12850	11833	10230
"TBC1D14"	8075	17769	9132
"MIB1"	14726	10527	47929
"ELAPOR1"	0	192	127
"KIAA1328"	1030	846	1182
"SORCS2"	0	102	3
"ALPK3"	104	59	226
"WDR35"	1024	2425	106
"DISP3"	262	139	43
"ZNF398"	1619	1836	1496
"KLHL42"	3318	6607	1590
"TXNDC16"	1658	2595	2239
"CC2D2A"	0	293	186
"PDP2"	289	536	616
"ZNF624"	1608	956	1664
"IGSF9"	0	8	4
"TAOK1"	13964	13437	14973
"NCEH1"	614	675	549
"MICAL3"	8294	7093	7274
"LRRC7"	1	9	0
"NLGN2"	0	0	191
"SEMA6A"	88	4430	3724
"USP35"	627	285	161
"STAMBPL1"	305	1678	351
"IFT80"	4339	2756	3290
"ARRDC3"	5507	4788	8343
"CEP126"	90	10	4
"KLHL8"	4014	4045	4006
"KLHL14"	791	76	245
"ZNF319"	684	373	300
"SIPA1L2"	13877	4499	11165
"ARHGAP20"	0	0	25
"TRMT5"	314	679	356
"CARNS1"	55	66	16
"DOCK6"	0	582	59
"ZNF471"	198	265	334
"MARCHF4"	23	0	0
"PCDH10"	0	0	0
"KIF17"	0	0	230
"CCDC191"	1133	573	676
"UNC79"	5875	62	5295
"FAM135A"	7402	2077	3116
"PREX1"	29990	31102	17863
"KCNT1"	0	0	0
"TMEM181"	4976	2340	1583
"ARHGAP21"	2919	9838	5506
"CRAMP1"	3792	3813	5335
"SYT13"	0	20	0
"CFAP97"	5943	4093	3226
"RIC1"	11832	8092	10530
"WDFY1"	6405	5209	9871
"MRTFA"	869	1917	1310
"ZNF687"	1685	1589	1432
"EBF4"	0	40	269
"HOMEZ"	273	645	473
"PDZD4"	67	68	13
"BEGAIN"	0	30	0
"BAHCC1"	9757	220	3642
"WDR48"	7680	4297	6850
"FNIP2"	2066	2320	2200
"USP36"	3616	1379	763
"TRMT9B"	12	13	2289
"PITPNM2"	335	3271	578
"SLAIN2"	4437	2383	1953
"JCAD"	289	1707	1205
"DIP2B"	13011	7499	10194
"RANBP10"	1012	1658	1398
"ISLR2"	3	0	9
"FAM234B"	1576	1233	891
"RELCH"	10831	7566	5161
"ZNF492"	21	537	1829
"TSHZ3"	7	85	81
"VPS18"	4960	3551	4718
"SHROOM3"	5768	7	4183
"STIM2"	938	4563	5413
"ZBTB2"	981	1271	680
"LRFN1"	191	340	99
"ZFAT"	1193	2132	1330
"NYAP2"	0	0	0
"KLHL1"	0	0	0
"DPP10"	0	26	303
"SH3RF1"	3207	1374	1923
"LRCH2"	0	0	2
"LRRN1"	879	227	7
"EP400"	2566	5088	2138
"ARHGAP23"	779	1265	643
"CCDC146"	796	372	1091
"COL20A1"	0	0	0
"ZSWIM5"	85	70	6
"MYH7B"	0	52	33
"POGK"	2726	2750	3056
"USP28"	1717	2709	13960
"DHX37"	1487	1441	952
"KIAA1522"	72	124	99
"PHF12"	1260	2563	1524
"CIP2A"	2123	2803	4659
"SUGT1P4-STRA6LP-CCDC180"	1089	1030	35
"UVSSA"	1668	1244	757
"GRAMD1A"	2147	1876	712
"HCN3"	62	119	91
"CALCOCO1"	5406	3516	4437
"ZBTB4"	1251	933	970
"PHRF1"	3350	2690	2249
"CAMSAP3"	0	0	34
"USP29"	0	0	0
"PLEKHA4"	18	7	19
"RDH14"	1242	668	1385
"FBRSL1"	1558	1174	356
"EPB41L5"	605	193	106
"KIAA1549"	67	21	116
"BEND3"	394	589	288
"RNF213"	53854	44480	57884
"ZFP14"	1435	2271	2081
"GPAM"	2541	1725	2228
"ALS2"	1118	1831	1833
"CHD8"	10496	8502	11623
"ZDBF2"	187	73	298
"ZBTB26"	1110	954	1508
"CACHD1"	318	67	909
"VAT1L"	0	4	4
"ZSWIM6"	1386	4074	807
"LRRC4C"	14	0	0
"TNRC6C"	2815	2136	813
"KIAA1586"	3395	2327	2485
"MAGEE1"	16	6	39
"ZNF317"	5029	2519	3266
"USP37"	4189	9241	10289
"DDX55"	1792	2244	1929
"FANCM"	2689	2558	4034
"SHTN1"	0	223	45
"CPNE5"	0	62	140
"FAM160B1"	9182	6023	4099
"NCKAP5L"	421	317	111
"CWC22"	2207	2567	2662
"GBA2"	2708	2633	1432
"WDFY4"	19200	6969	3795
"DENND1A"	850	2270	1248
"MEAK7"	760	387	1046
"MIER1"	4572	6888	4829
"SLC7A14"	0	0	0
"KIAA1614"	43	69	303
"ZNF529"	2688	1857	1362
"SFMBT2"	3663	4397	12183
"SEMA4G"	0	16	0
"PRX"	502	13143	103
"PCDHB16"	10	7	100
"PPP4R4"	113	0	11
"ANO8"	182	547	256
"GPR107"	2707	2684	3216
"METTL14"	1707	2118	2503
"IGDCC4"	0	8	13
"EPG5"	7006	8346	5638
"NCOA5"	720	1133	1161
"WDR19"	2012	1719	1654
"ANKRD36B"	4760	10947	3844
"SPTBN4"	0	0	41
"ZFYVE28"	49	66	36
"GBA3"	0	5	10214
"SCUBE2"	0	376	0
"TRIB3"	27	150	125
"ANKRA2"	2979	1634	3680
"RBAK"	3113	2019	2529
"MARK4"	532	461	403
"SUGP1"	1302	1573	1342
"BRINP2"	0	0	20
"GATAD1"	4321	2174	1182
"RAB40C"	876	664	747
"HES4"	12	11	9
"POLD4"	2536	1410	2150
"CCAR2"	3294	3107	3097
